step=330 time=0.396967s cnt=25421 avg=15.615711
step=331 time=0.317043s cnt=25344 avg=12.509588
step=332 time=0.309628s cnt=25267 avg=12.254245
step=333 time=0.319759s cnt=25192 avg=12.692879
step=334 time=0.294431s cnt=25116 avg=11.722846
step=335 time=0.355199s cnt=25041 avg=14.184697
step=336 time=0.344936s cnt=24967 avg=13.815677
step=337 time=0.330332s cnt=24893 avg=13.270076
step=338 time=0.354444s cnt=24819 avg=14.281156
step=339 time=0.325281s cnt=24746 avg=13.144791
step=340 time=0.414929s cnt=24673 avg=16.817128
step=341 time=0.4348412s cnt=24601 avg=176.757530
step=342 time=0.371742s cnt=24529 avg=15.155204
step=343 time=0.351324s cnt=24457 avg=14.364967
step=344 time=0.361370s cnt=24386 avg=14.818748
step=345 time=0.416938s cnt=24315 avg=17.147358
step=346 time=0.427564s cnt=24245 avg=17.635141
step=347 time=0.394767s cnt=24175 avg=16.329555
step=348 time=0.453998s cnt=24106 avg=18.833402
step=349 time=0.531274s cnt=24037 avg=22.102342
step=350 time=0.479011s cnt=23968 avg=19.985439
step=351 time=0.506857s cnt=23900 avg=21.207406
step=352 time=0.536211s cnt=23832 avg=22.499622
step=353 time=0.513487s cnt=23764 avg=21.607768
step=354 time=0.335421s cnt=23697 avg=14.154577
step=355 time=0.250696s cnt=23630 avg=10.609226
step=356 time=0.260700s cnt=23564 avg=11.063487
step=357 time=0.407694s cnt=23498 avg=17.350157
step=358 time=0.232675s cnt=23432 avg=9.929797
step=359 time=0.301620s cnt=23367 avg=12.907947
step=360 time=0.278537s cnt=23302 avg=11.953352
step=361 time=0.283920s cnt=23238 avg=12.217919
step=362 time=0.241201s cnt=23173 avg=10.408708
step=363 time=0.294141s cnt=23110 avg=12.727867
step=364 time=0.552879s cnt=23046 avg=23.990237
step=365 time=0.857546s cnt=22983 avg=37.312187
step=366 time=0.634096s cnt=22920 avg=27.665620
step=367 time=0.392721s cnt=22858 avg=17.180899
step=368 time=0.401394s cnt=22796 avg=17.608089
step=369 time=0.385854s cnt=22734 avg=16.972552
step=370 time=0.395216s cnt=22672 avg=17.431898
step=371 time=0.413932s cnt=22611 avg=18.306665
step=372 time=0.401718s cnt=22551 avg=17.813755
step=373 time=0.1748434s cnt=22490 avg=77.742730
step=374 time=0.406044s cnt=22430 avg=18.102720
